,NC1 Log2,NC2 Log2,NC3 Log2,NC4 Log2,GC1 Log2,GC2 Log2,GC3 Log2,GC4 Log2,PL1 Log2,PL2 Log2,PL3 Log2,PL4 Log2,Pattern,Ribosome,Spliceosome,"Valine, leucine and isoleucine degradation",Oxidative phosphorylation,Proteasome,Protein processing in endoplasmic reticulum,Glycolysis / Gluconeogenesis,Citrate cycle (TCA cycle),Endocytosis,Fatty acid degradation,Fatty acid metabolism,RNA transport,Pyruvate metabolism,Fructose and mannose metabolism,Regulation of actin cytoskeleton,Phagosome,Complement and coagulation cascades,Arginine and proline metabolism,DNA Replication,PPAR signaling pathway,ECM-receptor interaction,Focal adhesion,Pentose phosphate pathway,RNA degradation,Mismatch repair,Stomach specific,Mitochondrion,Cytoplasm,Extracellular exosome,Membrane,Nucleus,Endoplasmic reticulum,Golgi apparatus
3424,17.04052509554491,17.076809011014277,16.936622397028216,16.938426462412924,17.21401873587842,17.17845823162774,17.33490106075445,17.128368040023805,17.18525771768781,16.88960530806667,17.109557733652604,17.123838000986183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
3425,14.464367988109961,14.389215437202704,14.512956187710902,14.453857269578204,13.87888051276461,14.222511989986682,14.145210795354208,14.05650557776287,14.515109075276982,14.568956920339536,14.446823264864117,14.467429288495167,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
3426,16.505284954099782,16.488616123521364,16.438468680060417,16.49790519850304,16.29247746494681,15.987944172944118,16.177430595667072,16.131776852758605,16.495941105860965,16.11602381075901,16.450476402529468,16.229683608873007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
3427,14.813144216607876,14.762648642303935,14.833007360227134,14.957807454386234,14.771585251607057,14.744342639806217,14.841662417753005,14.771989832883813,14.89882100311876,14.871727521673302,14.936464562092018,14.478265997867187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3428,11.347404834884411,10.94005289562527,12.647873504501831,12.579125078958011,11.680935222296132,13.781538760663953,12.844965858275772,12.538757103019613,11.360960014182035,13.545301846326526,12.42599937547978,12.336679295368754,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3429,15.477199827440378,15.360776421479997,15.152467736452788,15.277799794987107,15.20562596472331,15.048649805895158,15.294260152108707,15.325752676113337,15.218986318416606,15.28003308996742,15.297210381125858,15.274558004407067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3430,16.17844944270913,16.04487877331723,16.234252955619368,16.21718406993829,15.869009366858128,15.82764746504701,15.803376456914124,15.681326399223769,16.317328858524416,16.422164611482422,16.313634324207698,16.371646287626408,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3431,15.293646229816055,15.08183620023418,15.31467968321815,15.215695174670376,15.494812761772616,15.5323388522463,15.477163937511301,15.536680496765994,15.114063696992988,15.21102291980328,15.030668625820296,15.15078008536038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
3432,13.448187831729767,13.43243715807644,13.149288393224603,13.02662975671859,13.704170883850676,12.69075745269987,13.266598658175123,13.776323097005715,13.528888413954189,12.731441174029351,13.126059770925767,13.365565138991773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3433,14.595268584130707,14.687106797618748,14.28088840121739,14.511092824228431,14.567247059458953,14.420601608446503,14.725227110856972,14.611869485103002,14.436990608915517,14.167376485871843,14.463511483164103,14.283816457692495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
