,Ribosome,Spliceosome,"Valine, leucine and isoleucine degradation",Oxidative phosphorylation,Proteasome,Protein processing in endoplasmic reticulum,Glycolysis / Gluconeogenesis,Citrate cycle (TCA cycle),Endocytosis,Fatty acid degradation,Fatty acid metabolism,RNA transport,Pyruvate metabolism,Fructose and mannose metabolism,Regulation of actin cytoskeleton,Phagosome,Complement and coagulation cascades,Arginine and proline metabolism,DNA Replication,PPAR signaling pathway,ECM-receptor interaction,Focal adhesion,Pentose phosphate pathway,RNA degradation,Mismatch repair,Stomach specific,Mitochondrion,Cytoplasm,Extracellular exosome,Membrane,Nucleus,Endoplasmic reticulum,Golgi apparatus,avg_NC_log2,avg_GC_log2,avg_PL_log2
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,16.127440525402044,16.23379365740676,16.28488379114225
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.90055136238755,15.71804931884247,15.694079079546142
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.882013869624389,15.583194517478269,15.586739466289455
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.707710963010292,15.521958686081312,15.43795792424599
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.189016827866116,16.271927216238858,16.066152913388464
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,21.05951957354129,20.35873311996411,20.94477972306961
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16.56876031656821,15.575052874021925,15.668421149115796
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.44264147618615,14.843469848798154,15.293033963864524
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19.324710409414905,19.799985286880858,19.421038573361116
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.734603980953946,18.318654111664113,18.766717573214677
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,17.082027340558124,16.964675390372417,17.07878383214719
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,16.12451464812021,15.954511829075532,16.211468862425782
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17.84265796101201,17.75190995341174,17.869997055638823
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,16.64402966754639,16.752569122217245,16.824968079015065
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,18.46737586466468,18.555239208763112,18.407403098110024
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.915488866539599,14.850536152201544,14.901976924022096
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13.910155600875585,13.901209277252715,13.890174548950071
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,16.92719561728193,16.469184356296132,16.70729579585846
29,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,19.689013993590187,19.723876218397724,19.524164609818676
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14.460186159119164,14.582798801426193,14.321620933608068
