HH3,VIM,SMA,CD4,CD14,Foxp3,CD31,PDL1,Ki67,CD206,CD68,CD8,CD3,IDO,CD11c,CD163,CD20,CD16,IFNg,HLA.DR,CD11b,CD45,H3K9Ac,Keratin,MastChyTry,Ta,Au,Disease
0.830438288,0.687393882,0,0.084607438,0.347396995,0,0.775686253,0.1126847,0,0,0,0,0.043472821,0.293097794,0.175173387,0,0,0.353302769,0,0.520229079,0,0.247605842,0.716980305,0,0,0.092670579,0.049038579,0
0.644266256,0.700397116,0,0.635766577,0.037252779,0,0.631982662,0,0,0,0,0,0.705530916,0.367465614,0,0,0,0,0,0.527687706,0,0.697545139,0.623487304,0,0,0.056510271,0.072865253,0
0.760678759,0.749865153,0,0.675388539,0,0,0.627020323,0.062346036,0,0,0,0.098719164,0.775523224,0.39992713,0,0,0,0,0,0.340973415,0,0.660178795,0.674334441,0,0,0.036292151,0.053022038,0
0.884124949,0.40133891,0,0,0.2362723,0,0.458611334,0,0,0,0,0.036555464,0,0.373432841,0,0,0,0,0,0.067450304,0,0.105602644,0.798238558,0,0,0.043664453,0.058458047,0
0.894300554,0.816007169,0,0.199267917,0,0,0.55617319,0,0,0,0,0.518260837,0.548612596,0.310029965,0.149079904,0,0,0,0,0.430634335,0,0.669460562,0.736368907,0,0,0.087388737,0.10242645,0
0.92726512,0.656027715,0,0,0,0,0.364679238,0,0,0,0,0,0.585583798,0.289087526,0,0,0,0,0,0.272168527,0,0.535938148,0.831565455,0,0,0.103554961,0.102580402,0
0.846388041,0.617300206,0,0,0,0,0.602541896,0,0,0,0,0,0,0.300017105,0,0,0,0,0,0.326151103,0,0,0.733320314,0,0,0.066875276,0.111962481,0
0.801274881,0.873966518,0,0.55032151,0.479918802,0,0.944598308,0,0,0.118319787,0,0.134367859,0.193080984,0.385976203,0.284982264,0,0,0.408629522,0,0.701495764,0,0.612008935,0.672478753,0,0,0.100235482,0.099292163,0
0.625026482,0.637695486,0,0,0,0,0.828552519,0,0,0,0,0,0,0.187073013,0,0,0,0,0,0.293514093,0,0,0.363099466,0,0,0,0.053587799,0
0.724854743,0.576417117,0,0.018201811,0,0,0.710789078,0.169848188,0,0,0,0.298605592,0.339103242,0.150415478,0,0,0.26606882,0,0,0.454781356,0,0.540874511,0.609875807,0,0,0.055732518,0.126133357,0
