HH3,VIM,SMA,CD4,CD14,Foxp3,CD31,PDL1,Ki67,CD206,CD68,CD8,CD3,IDO,CD11c,CD163,CD20,CD16,IFNg,HLA.DR,CD11b,CD45,H3K9Ac,Keratin,MastChyTry,Ta,Au,Disease
0.891260564,0.761781113,0,0.328067536,0.542307677,0,0.501915264,0.222350244,0,0.345831078,0.019913478,0.17361042,0.151601478,0.3928508,0.538068615,0,0.624417848,0.458365287,0,0.657099192,0.141202504,0.756208424,0.729986856,0,0,0.194790715,0.198352975,0
0.87253219,0.680270372,0,0.183247576,0.256940279,0,0,0,0,0,0,0.018700711,0.239812026,0.148652232,0,0,0.526514745,0,0,0.49034191,0,0.549485128,0.747406662,0,0,0.111899663,0.092337904,0
0.695852241,0.766093687,0,0.031311875,0.25604211,0,0,0,0,0,0.26629334,0,0,0.343257288,0.171666761,0,0.403908382,0.027879738,0,0.414371648,0,0.592820096,0.582837069,0,0,0.024661499,0.080159852,0
0.763099945,0.423129665,0,0.325291763,0.522989843,0,0,0.178393606,0,0,0.307493365,0,0,0.346927625,0.688489546,0,0.438213477,0.269451167,0,0.780166654,0.598454382,0.764253903,0.543638181,0,0,0.11028004,0.065903206,0
0.841443074,0.529385921,0,0,0.127416412,0,0,0,0,0.055592553,0,0,0.297799939,0,0,0,0.245762222,0.102234648,0,0.440646187,0.013918534,0.53766393,0.757366666,0,0,0.045443729,0.125952161,0
0.852205967,0.588402499,0,0.01799102,0,0,0.412005981,0.079991241,0,0,0.01507159,0.061946643,0.054712873,0.227009295,0.066427533,0,0.485780047,0,0,0.50836856,0,0.659995583,0.678196533,0,0,0.06775933,0.100945617,0
0.784670684,0.617985362,0,0.128961547,0.020118384,0,0,0,0,0,0,0.273222429,0.223996233,0.095258857,0,0,0.328544942,0,0,0.252306278,0,0.544245539,0.64938818,0,0,0.060544326,0.03088395,0
0.785000317,0.499366125,0,0,0.056586163,0,0,0,0,0,0,0,0.012771051,0,0,0,0.273906545,0,0,0.394742777,0,0.435631155,0.625357419,0,0,0.039063607,0.086097561,0
0.807742851,0.53731603,0,0.223486499,0.057730691,0,0,0,0,0,0,0,0,0.272061896,0.02866635,0,0.67206337,0,0,0.545983167,0,0.596669858,0.671213118,0,0,0.31851594,0.426943899,0
0.74619966,0.341731293,0,0.042930084,0.077069247,0,0,0,0,0,0,0,0,0,0,0,0.325736574,0,0,0.48696336,0,0.49845427,0.567745018,0,0,0.05289514,0.064480786,0
0.796902551,0.567453015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209849859,0,0,0.390825045,0,0.424829411,0.637677416,0,0,0.056152766,0.040383556,0
0.789153835,0.718067104,0,0.166798848,0.648924378,0,0,0.478548755,0,0.331927268,0,0,0,0.473290982,0.59395996,0,0.765575606,0.51717254,0,0.775171229,0.715508731,0.812154127,0.626822871,0,0,0.371024116,0.30585858,0
0.776370544,0.018827718,0,0,0.270658521,0,0,0,0,0,0,0,0,0,0,0,0.340034278,0.209272408,0,0.43968378,0,0.433549676,0.493717476,0,0,0.046927936,0.072945402,0
0.823953627,0.870308252,0,0.025632954,0.461379136,0,0,0.244919283,0,0.234510922,0.320762476,0,0,0.483195251,0.387955949,0,0.474475787,0.435686391,0,0.569200514,0.321570886,0.675066628,0.660558203,0,0,0.058683313,0.106584954,0
0.651495599,0.411406485,0,0,0.017506059,0,0,0,0,0,0,0,0,0,0,0,0.37012843,0.190199804,0,0.351952693,0,0.44927823,0.520040852,0,0,0.027188287,0.060798702,0
0.886163463,0.635226014,0,0.569602711,0.393968371,0,0,0.395867176,0,0,0.050077549,0,0.260439394,0.248404993,0.610158117,0,0.451903002,0.385046528,0,0.645872256,0.310164384,0.784855384,0.767661723,0,0,0.101233031,0.142225336,0
0.852225224,0.767120868,0,0.057530141,0.481281827,0,0,0.164166314,0,0.151615419,0,0,0.019625333,0.180296117,0.584480559,0,0.720686721,0.373533187,0,0.670220865,0.33997472,0.707964614,0.686654548,0,0,0.180115599,0.106761199,0
0.847350096,0.699266377,0,0.098197527,0.155241021,0,0,0,0,0,0.025054039,0.017319604,0.25581449,0.093281401,0,0,0.245565973,0,0,0.434093638,0.056466651,0.52652303,0.730180845,0,0,0.05718852,0.089560834,0
0.71508814,0.341118889,0,0,0.284585553,0,0.049452041,0,0,0,0,0,0,0.088897665,0,0,0.322519952,0.123973133,0,0.536658754,0,0.607319476,0.503726947,0,0,0.083057959,0.068832289,0
0.891966852,0.552673821,0,0.287737847,0.549044978,0,0,0,0,0,0,0,0.317854461,0.332325806,0,0,0.670433139,0.317844608,0,0.613073095,0,0.768476232,0.701294379,0,0,0.149429778,0.131421528,0
0.84072545,0.641324934,0,0.431647631,0.747087164,0,0,0.185839371,0,0.329900293,0.405634982,0,0.061208718,0.318841241,0.635058322,0,0.681024296,0.445250027,0,0.680983342,0.451407188,0.777535065,0.687408731,0,0,0.256262904,0.266714533,0
0.814840429,0.741793593,0,0,0.150667383,0,0,0,0,0,0.590398527,0,0.643390436,0.076962641,0,0,0.540889577,0.444249707,0,0.714777238,0.408978487,0.827660751,0.688062004,0,0,0.149429778,0.059974541,0
0.857691098,0.664266061,0,0.434163871,0.623596269,0,0,0,0,0,0.289521505,0,0.297478805,0.339334466,0.466969719,0,0.51900504,0.242795478,0,0.603397066,0.066068053,0.655365226,0.77917845,0,0,0.091426299,0.090565883,0
0.797566411,0.795526978,0,0.292156883,0.789075311,0,0,0.227307656,0,0.377625172,0.823997918,0.118128147,0.028573822,0.289969748,0.764130697,0,0.806341795,0.098018669,0,0.832599462,0.69996005,0.834924176,0.636788768,0,0,0.143240298,0.159556536,0
0.767818943,0.687799081,0,0.360917563,0.352112769,0,0,0.257806982,0,0,0,0.101258985,0.199336657,0.482578592,0.421023199,0,0.382721017,0.289636097,0,0.486784101,0.083810383,0.671640617,0.52920349,0,0,0.023490486,0.086248146,0
0.767663437,0.594576233,0,0.62954156,0.519531979,0,0,0.12140941,0,0,0,0,0,0.436825702,0.604740508,0,0.810078186,0.581132573,0,0.597139694,0.237215369,0.80974205,0.517634842,0,0,0.124387342,0.068936839,0
0.77239562,0.396738484,0,0.00686924,0.191864782,0,0,0,0,0,0.449078798,0,0,0.244996244,0,0,0.247284007,0,0,0.385616495,0,0.398988518,0.690314019,0,0,0.040070334,0.07580581,0
0.828447265,0.560397634,0,0,0.277699141,0,0,0.156295535,0,0,0,0,0,0.477158218,0.358712252,0,0.576466313,0.194879645,0,0.525171844,0.221135408,0.534844093,0.686720254,0,0,0.049272727,0.107297465,0
0.771349121,0.45955191,0,0.10728391,0,0,0,0,0.782699185,0,0,0.125961998,0.135127611,0.125062538,0,0,0.362797979,0,0,0.461817255,0,0.581625407,0.587249075,0,0,0.03732217,0.061682725,0
0.764928821,0.619636625,0,0,0.221381358,0,0,0,0,0,0.100027063,0.078539435,0.177438498,0.02256102,0,0,0.375292453,0,0,0.508539218,0,0.628156121,0.64210909,0,0,0.058326351,0.035476876,0
0.56243687,0.26208583,0,0,0,0,0,0,0,0,0,0,0,0.311760011,0,0,0.187725189,0,0,0.612972391,0,0.3364902,0,0,0,0.0459629,0.094929317,0
0.741942342,0.440296568,0,0,0.469161745,0,0,0,0,0,0,0,0,0.564838632,0.506551893,0,0.611060964,0.274652509,0,0.524568551,0,0.689132602,0.476673024,0,0,0.05753367,0.067416364,0
0.558999116,0.05082634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.459005586,0,0,0.358367265,0,0.395229828,0,0,0,0.032394856,0.076103814,0
0.760456788,0.047139758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.255913269,0,0,0.32109639,0,0.35972602,0.517326638,0,0,0.044536771,0.057908457,0
0.749272168,0,0,0,0,0,0,0,0,0,0,0.013814864,0.072326867,0.12335165,0,0,0.245741928,0,0,0.00553654,0,0.417085232,0.658467168,0,0,0.031177362,0.070848193,0
0.77906798,0.316381288,0,0.105055543,0,0,0,0,0,0,0,0.158060245,0.16661737,0.293097794,0,0,0.360370983,0,0,0.243128078,0,0.552920428,0.622233686,0,0,0.041579039,0.033170919,0
0.788911076,0.493073632,0,0.033961424,0,0,0,0,0,0,0,0,0.134502388,0.401710984,0,0,0.338366693,0,0,0.091863666,0,0.445557867,0.686473735,0,0,0.052281202,0.091266879,0
0.794143018,0.352318207,0,0,0.514591575,0,0,0,0,0,0,0.021452285,0,0.254891409,0,0,0.442808715,0,0,0.5194884,0,0.561133915,0.645112013,0,0,0.073820879,0.056185011,0
0.833024246,0.223864938,0,0,0,0,0,0,0,0,0,0,0.066950203,0.08375689,0,0,0.231091775,0,0,0.502151709,0,0.479752291,0.666551154,0,0,0.068496088,0.062188074,0
0.717520848,0.538081624,0,0,0,0,0,0,0,0,0,0.127710599,0,0,0,0,0.393951111,0,0,0.26478113,0,0.550345353,0.663709951,0,0,0.02992345,0.02964184,0
0.674191124,0.027648653,0,0,0.460215044,0,0,0,0,0,0,0,0,0.032889014,0.097398876,0,0.462472651,0,0,0.544616133,0,0.483977218,0.322570816,0,0,0.017622243,0.051041236,0
0.697106205,0.13774385,0,0,0,0,0,0,0,0,0,0.017431486,0.061012574,0.20787824,0,0,0.283648673,0,0,0.292901425,0,0.534229689,0.570212772,0,0,0.046600451,0.038739994,0
0.79436987,0.0997209,0,0,0,0,0,0,0,0,0,0,0,0.169980645,0,0,0.203935755,0,0,0.445623767,0,0.498616616,0.733510772,0,0,0.099488293,0.121421355,0
0.798076065,0.500175857,0,0.152714352,0,0,0,0,0,0,0,0,0.275792888,0.141755448,0,0,0.282463123,0,0,0.399920897,0,0.572850956,0.71925961,0,0,0.097341098,0.089610167,0
